"Longitude","Latitude","Day_of_Week"
-0.0799,51.518082,"Wed"
-0.088872,51.517239,"Wed"
-0.107869,51.510983,"Thu"
-0.079745,51.518349,"Wed"
-0.084137,51.513295,"Fri"
-0.081575,51.515951,"Tue"
-0.093136,51.51524,"Wed"
-0.086411,51.514052,"Sat"
-0.092135,51.515044,"Tue"
-0.087013,51.510015,"Sat"
-0.080958,51.51693,"Thu"
-0.104799,51.515519,"Sat"
-0.10974,51.51452,"Sat"
-0.079896,51.518172,"Sat"
-0.086115,51.510809,"Sun"
-0.09692,51.51782,"Wed"
-0.085065,51.511782,"Sat"
-0.100466,51.515719,"Fri"
-0.089986,51.514739,"Fri"
-0.097554,51.519898,"Tue"
-0.080301,51.511973,"Wed"
-0.100131,51.513376,"Fri"
-0.089038,51.513285,"Thu"
-0.085209,51.511784,"Wed"
-0.103029,51.51648,"Wed"
-0.07957,51.512231,"Sat"
-0.102515,51.51845,"Sat"
-0.104795,51.515609,"Sat"
-0.079395,51.509531,"Wed"
-0.080115,51.509542,"Sun"
-0.074635,51.509632,"Mon"
-0.104228,51.511913,"Fri"
-0.10425,51.511374,"Sat"
-0.086695,51.510729,"Tue"
-0.08535,51.511876,"Wed"
-0.088732,51.517147,"Sat"
-0.083807,51.514279,"Tue"
-0.088732,51.517147,"Wed"
-0.085963,51.510987,"Mon"
-0.102515,51.51845,"Tue"
-0.088414,51.517861,"Sat"
-0.104426,51.514075,"Fri"
-0.083436,51.516251,"Fri"
-0.104282,51.514072,"Tue"
-0.074628,51.509812,"Thu"
-0.092891,51.51074,"Wed"
-0.075374,51.505778,"Mon"
-0.081719,51.515953,"Fri"
-0.096912,51.518,"Fri"
-0.092839,51.511998,"Fri"
-0.086857,51.510282,"Wed"
-0.083096,51.517505,"Sat"
-0.089758,51.513297,"Tue"
-0.097417,51.519716,"Mon"
-0.10639,51.515365,"Tue"
-0.104087,51.511821,"Tue"
-0.087009,51.510105,"Tue"
-0.08818,51.509674,"Sat"
-0.083099,51.517415,"Wed"
